,English_title_token,Telugu_title_token
332,BABAPET,బాబాపేట
333,Mpl,పురపాలక
334,(U,(యు.
335,BAHRATHI,బహ్రతి
336,"TM,","టిఎమ్,"
337,BHEEMANAVARI,భీమనవారి
338,"STREET,",వీధి
339,KOTHAPE,కొత్తపే
340,BALA,బాల
341,BHARATHI,భారతి
342,PS.,ప్రాథమిక
343,VV,వి.వి.
344,GUDAVALLI,గూడవల్లి
345,BHANU,భాను
346,VID,వి.ఐ.డి.
347,E.,ఈ.
348,KODURU,కోడూరు
349,H.,హెచ్.
350,"S,BUDHWARPETA,",బుధవారపేట
351,BALAHITHA,బాలాహిత
352,BALAMANDIR,బాలమందిర్
353,PONNUR,పొన్నూరు
354,BALAVIKASPS,బాలయేసు
355,YMK,వైఎంకె
356,MpL,పురపాలక
357,BAPUJI,బాపూజీ
358,ATMAKURU,ఆత్మకూరు
359,BARATHIYA,భారతీయ
360,NIKE,నికేతన్
361,BASARA,బాసర
362,SAI,సాయి
363,BABA,బాబా
364,BCSR.,బిసిఎస్ఆర్.
365,BEST,బెస్ట్
366,CHILD,చైయిల్డ్
367,PRI,పి.ఆర్.ఐ.
368,POTTIPADU,పొట్టిపాడు
369,BETHANY,బెథానీ
370,BETHEL,బెథెల్
371,BETHESDA,బెథెస్డా
372,BFS,బిఎఫ్ఎస్
373,KUDURU,కుదురు
374,bhanodya,భానోదయ
375,ps,పాఠశాల
376,matlam,మట్లం
377,BHARATEEYA,భారతీయ
378,VIGNANA,విజ్ఞాన
379,BHARATH,భారత్
380,IPDCOLONY,ఐపిడికాలనీ
381,VVS,వివిఎస్
382,V.B.,వి.బి.
383,MUPPALLA,ముప్పల్ల
384,VIDHYA,ప్రాథమికోన్నత
385,MANDHIR,మందిర్
386,VIDYANIKETHAN,విద్యానికేతన్
387,NILAYAM,నిలయం
388,BHARATHIYA,భారతీయ
389,BHAVAN,భవన్
390,VIDYANIKETAN,విద్యానికేతన్
391,BHARATIYA,భారతీయ
392,BHARPET,భార్పేట
393,GIRLS,బాలికల
394,BHASHYAM,భాష్యంపబ్లిక్
395,TR,టి.ఆర్.
396,NAGR,నగర్
397,MALIKIPURAM,మలికిపురం
398,SCHOOLS,స్కూల్స్
399,"SCHOOL,GORANTLA,","పాఠశాల,గోరంట్ల,"
400,GLOBAL,గ్లోబల్
401,"SCHOOL,MACHAVARAM,","పాఠశాల,మాచవరం,"
402,VIJAYAWADA,విజయవాడ
403,BHASYAM,భాష్యం
404,NANDIGAMA,నందిగామ
405,N.R.,ఎన్.ఆర్.
406,BHAVANI,భవాని
407,YADAVA,యాదవ
408,BAZAR,బజార్
409,OLD,పాత
410,BHAVITHA,భవిత
411,BHEERAM,భీరం
412,SREEDHAR,శ్రీధర్
413,REDDY,రెడ్డి
414,ENG,ఇంగ్లీష్
415,MED,మీడియం
416,BHUVANESWARI,భువనేశ్వర్
417,VIDYANEKATHAN,విద్యానికేతన్
418,SAMPATH,సంపత్త్
419,BISHOP,బిషప్
420,JOSEPH,జోసెఫ్
421,THUMMA,తుమ్మ
422,AZARIAH,అజారియా
423,ME,మీడియం
424,BJTPSL,బిజెటిపిఎస్ఎల్
425,KESARA,కేసర
426,BLOOMING,బ్లూమింగ్
427,BIRD,బర్డ్ఉన్నత
428,NRT,ఎన్.ఆర్.టి.
429,BLOOMS,బ్లూమ్స్
430,BMH,బిఎంహెచ్
431,LIFE,లైఫ్
432,SCIENCE,సైన్స్
433,BRC,బిఆర్
434,A.,ఎ.
435,BAD,బాద్
436,BRIDGE,బ్రిడ్జ్
437,ACADEMIES,అకాడమీస్
438,BRIGHT,బ్రైట్
439,KIDZ,కిడ్స్
440,GORANTLA,గోరంట్ల
441,BRILIANT,బ్రిలియంట్
442,BRILLIANT,బ్రిలియంట్
443,ED,ఈ.డి.
444,INSTITUTION,ఇనిస్టిట్యూషన్
445,UPPER,ప్రాథమికోన్నత
446,BUDDHA,బుద్ధ
447,KIDS,కిడ్స్
448,VENGALAYAPALEM,వెంగలాయపాలెం
449,C.B.C.N.C.P.S.,సి.బి.సి.ఎన్.సి.పి.ఎస్.
450,C.B.C.N.C.P.,సి.బి.సి.ఎన్.సి.పి.ఎస్.ఎల్.
451,(AID,ఎయిడ్
452,C.R.,సి.ఆర్.
453,REDDLA,రెడ్లా
454,C.S.I.,సి.ఎస్.ఐ.పి.
455,V.D.,వి.డి.
456,CARE,కేర్
457,P.V.,పి.వి.
458,AND,అండ్
459,SHARE,షేర్
460,CHARITABLE,చారిటబుల్
461,TRUST,ట్రస్ట్
462,CBM,సిబిఎమ్
463,CENTENARY,సెంటినరీ
464,SAMALKOT,సామర్లకోట్
465,CBR,సిబిఆర్ఉన్నత
466,KETANAKONDA,కేతనకొండ
467,CENTRAL,సెంట్రల్
468,A.T.,ఎ.టి.
469,AGRAHARAM,అగ్రహారం
470,CHAITANAYA,చైతన్య
471,CHAITANYA,చైతన్య
472,LALACHERUVU,లాలాచెరువు
473,BALAKUTEER,బాలకుటీర్
474,EDLAPADU,ఇడ్లపాడు
475,RAGHAVENDRA,రాఘవేంద్ర
476,CHAITHANYA,చైతన్య
477,VEMPALLI,వేంపల్లి
478,CHAITHNYA,చైతన్య
479,CHAITRA,చైత్ర
480,CHAMUNDI,చాముండి
481,SHANTI,శాంతినికేతన్
482,"THEATER,","దగ్గర,"
483,NDK,ఎన్.డి.కె.
484,CHANAKYA,చాణక్య
485,VC,విసి
486,CHANDAMAMA,చందమామ
487,CHARITA,చరిత
488,CONVENT,కాన్వెంట్
489,TENNERU,తెన్నేరు
490,(Primary),తెన్నేరు
491,CHARLY,చార్లీ
492,CHATTANYA,ఛత్తన్యా
493,"MANDIR,",మందిర్
494,MUNEPPA,మునేప్పా
495,CHILDRENS,చిల్డ్రన్స్
496,MONTESSORI,మాంటిస్సోరి
497,(TM,ఉన్నత
498,EM),(తెలుగు
499,OPP.,ఎ.ఐ.ఆర్.
500,AIR,ఎదురుగా
501,MOPIDEVI,మోపిదేవి
502,CHINMAYA,చిన్మయ
503,YELLAYAPALLI,ఎల్లయ్యపల్లి
504,MISSION,మిషన్
505,"VIDYALYA,","విద్యాలయ,"
506,"VIDYALAY,",విద్యాలయ్
507,CHITHANYA,చైతన్య
508,LS,ఎల్ఎస్
509,PET,పేట
510,CHRIS,క్రిస్
511,CHRIST,క్రైస్త్
512,CHURCH,చర్చి
513,NANDYAL,నంద్యాల
514,CHRISTIAN,క్రిస్టియన్
515,ES,ఎలిమెంటరీ
516,PALLEKONA,పల్లెకొన
517,CITY,సిటీ
518,SATELLITE,శాటిలైట్
519,(A-BLOCK),మోరంపూడి
520,"GUNTUR,","గుంటూరు,"
521,CRESCENT,క్రెసెంట్
522,CRR,సి.ఆర్.ఆర్.
523,SECONDARY,సెకండరీ
524,"SCHOOL,DINNEDEVARAPADU,","పాఠశాల,దిన్నెదేవరపాడు,"
525,CSI,సి.ఎస్.అయి.
526,IBRAHIMPATNAM,ఇబ్రహీంపట్నం
527,KANDRIKA,కంద్రిక
528,(A),(ఎ.)
529,(AIDED,(ఎయిడెడ్)
530,PORANKI,పోరంకి
531,(AIDED),(ఎయిడెడ్)
532,TARIGOPPULA,తరిగొప్పుల
533,CHANDRALA,చంద్రాల
534,P.S.,పి.
535,(A,మునిపెద
536,BARRIINKA,బర్రిఇంకా
537,NANDYALA,నంద్యాల
538,CSIP,సి.ఎస్.ఐ.పి.
539,13TH,13
540,CSIPS,సిఎస్ఐప్రాథమిక
541,(AID),పాఠశాల
542,KANCHELA,కంచెల
543,CSIUPS,సిఎస్ఐయుపి
544,R.P.,ఆర్.పి.
545,CV,సివి
546,RAMAN,రామాన్
547,NANOOR,నానూర్
548,D.M.R.P.,డి.ఎం.ఆర్.పి.
549,PADISANPET,పడిసంపేట
550,DARAHAS,దరహాస్
551,DAROOL,దారూల్
552,ULOOM,ఉలూమ్
553,SABIBULLA,సాబిబుల్లా
554,HUDA,హుడాఉన్నత
555,ISCON,ఇస్కాన్
556,TEMPLE,ఆలయం
557,BHAVANIPURAM,భవానిపురం
558,DAV,డిఎవి
559,SRISAILAM,శ్రీశైలం
560,PROJECT,ప్రోజెక్ట్
561,DAV.,డిఎవి.
562,SUNIDPENTA,సుండిపెంట
563,DE,డి.ఇ.
564,PAULPS,పాల్
565,KARIVENA,కరివేన
566,DELHI,ఢిల్లీ
567,NIDAMANURU,నిడమనూరు
568,DEPUAL,డెప్యూల్
569,DHARANI,ధరణి
570,DIAMOND,డైమండ్
571,RS,ఆర్.ఎస్.
572,KANAGALA,కనగాల
573,DIMPPS,డి.ఎమ్.పి.పి.ఎస్.
574,KARUMURIVARIPALEM,కరుమూరివారిపాలెం
575,DIVYA,దివ్య
576,DON,డాన్
577,BOSCO,బాస్కో
578,YERRABALEM,యెర్రబాలెం
579,EMS,ఇంగ్లీష్ మీడియం పాఠశాల
580,GUNTUPALLI,గుంటుపల్లి
581,DPEP,డి.పి.ఈ.పి.
582,KOLANUKONDA,కొలనుకొండ
583,DR,ప్రసాద్
584,KKR,కె.కె.ఆర్.
585,GOWTHAM,గౌతం
586,JAYENDRA,జయేంద్ర
587,YSR,వై.ఎస్.ఆర్.
588,REGIONAL,స్పోర్ట్స్
589,SPORTS,పాఠశాల
590,APJ,అబ్దుల్
591,ABDUL,కలాం
592,KALAM,కలాం
593,N.,ఎన్.
594,VIJAYAKUMARI,డి.ఆర్.ఎన్.ఎస్.
595,NS,ఉన్నత
596,PRASAD,పాఠశాల
597,DR.,డి.ఆర్.
598,GILWATSON,గిల్వాట్సన్
599,GANDLURU,గండ్లూరు
600,DR.K.K.R.,డి.ఆర్.కె.కె.ఆర్.
601,Dr.,డి.ఆర్.కె.కె.ఆర్.ఎస్.
602,"KKR""S",గౌతం
603,(EM),(ఇంగ్లీష్
604,NARENDRA,నరేంద్ర
605,MEMORIAL,మెమోరియల్
606,ERNAPADU,ఎర్నపాడు
607,DREAM,డ్రీమ్
608,DREAMS,డ్రిమ్స్
609,DURGA,దుర్గ
610,DWARKAMAI,ద్వారకామాయి
611,SANJEEVA,సంజీవ
612,E-,రహీమాల్
613,HUSSAINIYA,హుస్సైనియా
614,EETHARAM,ఈతరం
615,ELIZABETH,ఎలిజబెత్
616,BERRIE,బెర్రీ
617,EMILE,ఎమిలే
618,CURRICULAM,కర్రికులం
619,CHINNTAKUNTLA,చిన్నతకుంట్ల
620,EMMANIEL,ఇమ్మాన్యుయేల్
621,BANGARAIAH,బంగారయ్య
622,KOTTU,కొట్టు
623,LANE,లేన్
624,EMMANUEL,ఇమ్మాన్యుయేల్
625,CHITTINAGAR,చిట్టినగర్
626,MOVVA,మొవ్వ
627,ESWAR,ఈశ్వర్
628,VENKATESHWARA,వెంకటేశ్వర
629,EXCELLENT,ఎక్సలెంట్
630,NOONEPALLI,నూనేపల్లి
631,F.R.ELE.S.,ఎఫ్.ఆర్.ఈ.ఎల్.ఈ.ఎస్.
632,F.R.,ఎఫ్.ఆర్.
633,FAITH,ఫేత్
634,FARAAN,ఫరాన్
635,ISLAMIC,ఇస్లామిక్
636,FATHIMA,ఫాతిమ
637,R.,ఆర్.
638,CHINTALA,చింతల
639,FLOOD,ఫ్లడ్
640,BANK,బ్యాంక్
641,"UP,",ప్రాథమికోన్నత
642,RANIGARITHOTA,రనిగరితో
643,FMUPS,ఎఫ్.ఎం.యు.పి.ఎస్.
644,CHINTAKUNTA,చింతకుంట
645,OF,ఆఫ్
646,JOY,జాయ్
647,3RD,3ఆర్.డి.
648,FRIENDS,ఫ్రెండ్స్
649,G.A.,జి.ఎ.
650,AMBAPURAM,అంబాపురం
651,G.D.E.T.,జి.డి.ఈ.టి.ఎం.సి.
652,G.M.R.,జి.ఎం.ఆర్.
653,G.N.R.,జి.ఎన్.ఆర్.ఎం.సి.
654,R.R.,ఆర్.ఆర్.
655,G.S.R.,జి.ఎస్.ఆర్.ఎం.సి.
656,B.R.,బి.ఆర్.
657,"GARDEN,",గార్డెన్
658,MUTHYALAMPADU,ముత్త్యాలంపాడు
659,GAHS,ప్రభుత్వ ఆశ్రమ ఉన్నత పాఠశాల (GAHS)
660,(B),(బి.)
661,GANGAVARAM,గంగవరం
662,RAMPACHODAVARAM,రంపచోడవరం
663,BOMMURU,బొమ్మూరు
664,GALAXY,గెలాక్సీ
665,GANA,గణ
666,GANDHI,గాంధీ
667,GANDHIJI,గాంధీజీ
668,GANESH,గణేష్
669,COMMITTEE,కమిటీ
670,EL,ఈఎల్
671,GAUPS,ప్రభుత్వ ఎయిడెడ్  ప్రాథమికోన్నత పాఠశాల (GAUPS)
672,VEERAVARAM,వీరవరం
673,Gautam,గౌతమ్
674,High,ఉన్నత
675,School,పాఠశాల
676,GAUTAM,గౌతమ్
677,GAYATHRI,గాయత్రి
678,ETUKURU,ఇటూకూరు
679,K.,కె.
680,LANKA,లంక
681,Gayathri,గాయత్రిఉన్నత
682,"HS,Yerraguntla,","పాఠశాల,ఎర్రగుంట్ల,"
683,Sirvel,సిర్వేల్
684,GAYATRI,గాయత్రి
685,YERRAGUNTLA,యెర్రగుంట్ల
686,GBM,జిబిఎంఉన్నత
687,GEETANJALI,గీతాంజలి
688,PEDAKAKANI,పెదకాకకాని
689,GEETHA,గీత
690,GK,జికె
691,GEETHAANJALI,గీతాంజలి
692,GEETHAM,గీతం
693,GARDEN,గార్డెన్
694,6TH,6వ
695,GEETHANJALI,గీతాంజలి
696,GOUDAPALEM,గౌడపాలెం
697,RAMIREDDYPET,రామిరెడ్డిపేట
698,-THE,ది
699,LEARING,లెర్నింగ్
700,YEMINANEVARIPALEM,ఏమినానేవారిపాలెం
701,GRAMMER,గ్రామర్ఉన్నత
702,GEETHANJALIKALASAPADU,గీతాంజలికలసపాడు
703,GEETHIKA,గీతిక
704,BHYRAVUNIPADU,భైరవునిపాడు
705,GEMINI,జెమిని
706,VUYYURU,వుయ్యురు
707,(PT),టి.)
708,GEMINIS,జెమినీస్
709,2ND,2వ
710,KVP,కెవిపి
711,GENESIS,జెనెసిస్
712,MODERN,మోడరన్
713,DENNEDEVARAPADU,దిన్నెదేవరపాడు
714,GENTLE,జెంటిల్
715,SHEPHERD,షెపర్డ్
716,LUTHERAN,లూథరన్
717,3/,3/
718,"8,","8,"
719,GEORGE,తెలుగు
720,CORONATION,కరోనేషన్
721,GHAZI,ఘాజీ
722,GHS,బాలికల ఉన్నత పాఠశాల
723,YELESWARAM,ఏలేశ్వరం
724,SEETHANAGARAM,సీతానగరం
725,KORUKONDA,కోరుకొండ
726,JAGGAMPETA,జగ్గంపేట
727,PEDDAPURAM,పెద్దాపురం
728,KAKINADA,కాకినాడ
729,ANANTHAVARAM,అనంతవరం
730,AMALAPURAM,అమలాపురం
731,PALLIPALEM,పల్లిపాలెం
732,GIRISH,గిరీష్
733,GITANJALI,గీతాంజలి
734,"AGRAHARAM,",అగ్రహారం
735,H.S.,పాఠశాల
736,GKR,జికెఆర్
737,VISION,విజన్
738,PIDUGURALLA,పిడుగురాల్ల
739,GM,జి.ఎం.
740,GOVT,ప్రభుత్వ
741,PEDAPUDII,పెదపూడి
742,GNANA,జ్ఞాన
743,SARASWATHI,సరస్వతి
744,GNR,జిఎన్ఆర్
745,NGO,ఎన్.జి.ఓ.
746,Gokul,గోకుల్
747,"School,",పాఠశాల
748,Thummalapalem,తుమ్మలపాలెం
749,GOLDEN,గోల్డెన్
750,BUDS,బడ్స్
751,GOOD,గుడ్
752,NEWS,ఇంగ్లీష్
753,todigotla,తొడిగొట్ల
754,SHEPHARD,షెఫర్డ్
